YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2003,1,1,0,32.4,25,78,6,90
2003,1,2,0.1,31.7,26.5,76,7,70
2003,1,3,0,31,24.8,80,5,70
2003,1,4,0,31,25,77,5,70
2003,1,5,0,31.5,26.6,71,8,70
2003,1,6,0,30.9,24.5,79,5,70
2003,1,7,0,30.7,25,83,2,270
2003,1,8,0,31.9,24.3,81,4,90
2003,1,9,0,31.5,24.3,82,4,270
2003,1,10,0,31.2,24,84,4,70
2003,1,11,0,31.2,23.8,81,2,90
2003,1,12,0,31.7,24.7,81,4,70
2003,1,13,0,31.5,23.5,79,3,90
2003,1,14,0.2,31.5,25.5,79,5,70
2003,1,15,0,31.9,24,81,5,70
2003,1,16,0,31.9,25.8,72,8,70
2003,1,17,0,30.8,24,73,7,70
2003,1,18,0,30.5,23,79,4,70
2003,1,19,0,32.5,23,76,4,270
2003,1,20,0,31,22.5,79,4,90
2003,1,21,0,30.5,22.3,77,4,70
2003,1,22,0,31,22.3,77,2,300
2003,1,23,0,33.3,22.6,75,3,340
2003,1,24,0,30,22.1,81,3,70
2003,1,25,0,30,23.8,82,4,70
2003,1,26,0,31.2,22.5,82,4,110
2003,1,27,0,31.3,23.5,75,4,90
2003,1,28,1.8,32.1,23.7,80,3,340
2003,1,29,0,32,24.5,76,8,70
2003,1,30,0,31.4,25,74,7,70
2003,1,31,0,31,23.1,77,5,70
2003,2,1,0,30.5,23.2,82,3,70
2003,2,2,30.1,32.8,24,78,3,90
2003,2,3,0,30.6,24.8,78,5,70
2003,2,4,0,31,22.3,75,5,90
2003,2,5,0,31,24.5,75,4,70
2003,2,6,0,31,25.3,70,8,70
2003,2,7,0.2,30,25.5,80,5,70
2003,2,8,0,30.3,24.7,83,4,70
2003,2,9,0,31.5,24.1,81,4,110
2003,2,10,0,31.5,24.5,81,3,270
2003,2,11,0,31.3,22.5,80,3,270
2003,2,12,0,32,24.5,75,6,70
2003,2,13,0,32,24.9,76,6,70
2003,2,14,0,31,24,77,5,70
2003,2,15,0,31,25.3,77,4,90
2003,2,16,0,31.5,23.5,76,4,90
2003,2,17,0,31.5,22.9,78,3,90
2003,2,18,0,31,23.6,76,4,90
2003,2,19,0,31.8,23,78,4,70
2003,2,20,0,31.5,24.2,75,4,70
2003,2,21,0,31,24,83,4,70
2003,2,22,0,30.5,22.9,81,2,70
2003,2,23,0,30.8,22.7,80,3,70
2003,2,24,0,30.9,21.8,76,4,90
2003,2,25,0,30.8,21.5,73,4,90
2003,2,26,0,31,23.2,78,3,90
2003,2,27,0,31,22.8,78,4,90
2003,2,28,0,30,22.3,82,4,70
2003,3,1,0,30.8,22.8,82,3,270
2003,3,2,0,31,23.1,78,3,90
2003,3,3,0,32,24.3,78,2,110
2003,3,4,0,32.5,24.5,79,2,110
2003,3,5,0,32.3,24.9,78,2,90
2003,3,6,0,33.5,26,78,2,90
2003,3,7,0,32,25.3,85,3,70
2003,3,8,0,32,24.7,83,3,70
2003,3,9,0,32.1,26.1,72,8,70
2003,3,10,0,31.5,24.4,65,7,70
2003,3,11,0,31.8,25,68,7,70
2003,3,12,0,31.5,23.2,70,6,70
2003,3,13,0,31.5,23,72,6,70
2003,3,14,0,31.3,22.8,77,3,110
2003,3,15,0,30.5,23.7,79,2,110
2003,3,16,7.4,31.3,24.5,83,3,70
2003,3,17,0,32,23.7,79,3,270
2003,3,18,0,32.5,24.4,78,3,90
2003,3,19,0,33,24.6,80,3,90
2003,3,20,0,32.5,25.8,80,3,70
2003,3,21,0,32.5,24.6,78,3,270
2003,3,22,0,32,24,83,3,270
2003,3,23,0,32.6,24.1,75,4,90
2003,3,24,0,32.5,24,73,4,270
2003,3,25,0,33.1,25.4,75,5,90
2003,3,26,0,32.5,26,75,6,70
2003,3,27,0,33.5,25,73,3,90
2003,3,28,0,32.5,25,80,3,110
2003,3,29,0,32.2,24.6,82,2,70
2003,3,30,0,33,24.3,74,3,90
2003,3,31,0,32.7,23.9,80,3,70
2003,4,1,0,33,24,77,2,90
2003,4,2,0,33.1,24.1,74,3,270
2003,4,3,0,33.2,24,70,2,110
2003,4,4,0,32.5,24.5,77,3,270
2003,4,5,0,32.6,24,78,3,70
2003,4,6,0,32.7,24.5,75,2,90
2003,4,7,0,33.6,24.5,73,3,270
2003,4,8,0,33,24.1,72,2,270
2003,4,9,0,33.7,26.5,76,3,110
2003,4,10,0,34,25.5,76,4,90
2003,4,11,0,33,25,79,3,70
2003,4,12,0,33.5,24.5,79,2,90
2003,4,13,0,33.8,23.8,72,3,110
2003,4,14,0,34.4,25.2,71,3,270
2003,4,15,0,33.8,25.8,72,2,90
2003,4,16,0,34,26.1,75,3,90
2003,4,17,0.5,34.1,25.5,71,4,90
2003,4,18,0,33.5,25,76,3,270
2003,4,19,0,33.1,24.7,74,2,270
2003,4,20,0,35.3,24.7,70,3,270
2003,4,21,0,33.8,24.8,70,2,270
2003,4,22,0,34.9,26,67,2,140
2003,4,23,0,35.9,25.7,70,3,270
2003,4,24,0,34.6,26.2,71,2,270
2003,4,25,0,34,25.2,78,3,70
2003,4,26,5.6,34,24.1,77,3,110
2003,4,27,2.9,32.9,24.5,83,3,100
2003,4,28,0,33.9,27,76,4,100
2003,4,29,0,34.2,27.5,78,3,320
2003,4,30,5.6,34.2,26.5,76,3,90
2003,5,1,2.5,33.8,26.2,78,2,110
2003,5,2,2,33,26.1,82,2,110
2003,5,3,1.6,33.2,26.1,79,2,110
2003,5,4,0,34.8,26.7,75,3,270
2003,5,5,0,34.6,26.5,75,3,270
2003,5,6,0,34.5,27,74,3,110
2003,5,7,0,34.9,27.4,78,2,270
2003,5,8,2.7,35.4,26.5,78,2,90
2003,5,9,0,33,27.8,81,4,70
2003,5,10,29.2,33,25.6,86,2,270
2003,5,11,42.6,32.5,24.6,94,2,260
2003,5,12,25.7,31.5,25,85,3,110
2003,5,13,10,30.4,24.5,90,2,270
2003,5,14,0.7,32.5,24.5,83,2,270
2003,5,15,0,33.3,25.6,79,2,270
2003,5,16,0,31.3,25.5,87,1,270
2003,5,17,3.9,33.5,24.6,78,3,270
2003,5,18,0,32.9,25.6,82,2,140
2003,5,19,0,33.3,25.5,80,2,180
2003,5,20,7.9,31.5,25.2,87,2,180
2003,5,21,26.3,33,24.5,89,2,270
2003,5,22,0.3,32.9,26,83,2,220
2003,5,23,0,31.7,24.9,81,3,270
2003,5,24,0,33.9,26.2,83,2,180
2003,5,25,13.2,32.2,24.4,83,3,180
2003,5,26,2.3,28.6,24.9,87,3,220
2003,5,27,0,32.5,25.5,84,3,180
2003,5,28,0,32.5,27,85,3,190
2003,5,29,6.4,32.8,25.5,86,2,190
2003,5,30,6.8,30.5,24.3,84,3,180
2003,5,31,9.3,30.6,24.3,93,2,220
2003,6,1,14.7,30.5,24.7,85,2,180
2003,6,2,0.5,33.2,25.4,82,2,180
2003,6,3,3.2,33.5,24.5,81,2,180
2003,6,4,0,32.8,24.5,83,2,180
2003,6,5,0,32.6,24,81,3,180
2003,6,6,0,31.5,25,86,2,180
2003,6,7,0,31.5,24.2,83,2,270
2003,6,8,0,32.9,24.5,79,2,180
2003,6,9,0,33,24.7,82,2,180
2003,6,10,0,33,24.3,79,2,160
2003,6,11,3,32.5,24,81,2,270
2003,6,12,23.6,32.5,24,83,2,270
2003,6,13,0,31.5,24.1,85,2,270
2003,6,14,3.4,31.6,24.9,86,2,270
2003,6,15,0.3,32.5,25.5,85,1,320
2003,6,16,0,34.2,24.6,78,2,270
2003,6,17,1.6,31.5,24.5,87,2,220
2003,6,18,1,32.5,23.7,86,2,270
2003,6,19,0,32.9,24.8,84,2,180
2003,6,20,0,31.5,24.8,85,2,180
2003,6,21,0.8,32,25.1,83,1,270
2003,6,22,5,32.2,24.7,84,2,270
2003,6,23,26.2,28.3,23.2,95,2,270
2003,6,24,0,32.6,24.1,83,2,110
2003,6,25,0,32.7,25.3,79,2,160
2003,6,26,23.8,33,23.3,83,2,140
2003,6,27,10.9,30.5,23.6,86,2,140
2003,6,28,21.2,31,24.3,83,2,90
2003,6,29,4,32.4,24,86,2,270
2003,6,30,0,33.7,24.4,80,2,270
2003,7,1,0,32.5,25,79,2,90
2003,7,2,17.7,32.7,24,86,2,300
2003,7,3,0.7,31,24.1,86,2,160
